x	y	label	showSelected1	PANEL	group
15	24	January 2012	January 2012	1	36
15	24	February 2012	February 2012	1	37
15	24	March 2012	March 2012	1	38
15	24	April 2012	April 2012	1	39
15	24	May 2012	May 2012	1	40
15	24	June 2012	June 2012	1	41
15	24	July 2012	July 2012	1	42
15	24	August 2012	August 2012	1	43
15	24	September 2012	September 2012	1	44
15	24	October 2012	October 2012	1	45
15	24	November 2012	November 2012	1	46
15	24	December 2012	December 2012	1	47
15	24	January 2013	January 2013	1	48
15	24	February 2013	February 2013	1	49
15	24	March 2013	March 2013	1	50
15	24	April 2013	April 2013	1	51
15	24	May 2013	May 2013	1	52
15	24	June 2013	June 2013	1	53
15	24	July 2013	July 2013	1	54
15	24	August 2013	August 2013	1	55
15	24	September 2013	September 2013	1	56
15	24	October 2013	October 2013	1	57
15	24	November 2013	November 2013	1	58
15	24	December 2013	December 2013	1	59
15	24	January 2014	January 2014	1	60
15	24	February 2014	February 2014	1	61
15	24	March 2014	March 2014	1	62
15	24	April 2014	April 2014	1	63
15	24	May 2014	May 2014	1	64
15	24	June 2014	June 2014	1	65
15	24	July 2014	July 2014	1	66
15	24	August 2014	August 2014	1	67
15	24	September 2014	September 2014	1	68
15	24	October 2014	October 2014	1	69
15	24	November 2014	November 2014	1	70
15	24	December 2014	December 2014	1	71
15	24	January 2009	January 2009	1	1
15	24	February 2009	February 2009	1	2
15	24	March 2009	March 2009	1	3
15	24	April 2009	April 2009	1	4
15	24	May 2009	May 2009	1	5
15	24	June 2009	June 2009	1	6
15	24	July 2009	July 2009	1	7
15	24	August 2009	August 2009	1	8
15	24	September 2009	September 2009	1	9
15	24	October 2009	October 2009	1	10
15	24	November 2009	November 2009	1	11
15	24	December 2009	December 2009	1	12
15	24	January 2010	January 2010	1	13
15	24	February 2010	February 2010	1	14
15	24	March 2010	March 2010	1	15
15	24	April 2010	April 2010	1	16
15	24	May 2010	May 2010	1	17
15	24	June 2010	June 2010	1	18
15	24	July 2010	July 2010	1	19
15	24	August 2010	August 2010	1	20
15	24	September 2010	September 2010	1	21
15	24	October 2010	October 2010	1	22
15	24	November 2010	November 2010	1	23
15	24	December 2010	December 2010	1	24
15	24	January 2011	January 2011	1	25
15	24	February 2011	February 2011	1	26
15	24	March 2011	March 2011	1	27
15	24	April 2011	April 2011	1	28
15	24	May 2011	May 2011	1	29
15	24	June 2011	June 2011	1	30
15	24	July 2011	July 2011	1	31
15	24	August 2011	August 2011	1	32
15	24	September 2011	September 2011	1	33
15	24	October 2011	October 2011	1	34
15	24	November 2011	November 2011	1	35
