fill	x	y	key	tooltip	showSelected2	PANEL
#FEE0D2	7	1	2014-01-07 1	  1 people slightly injured at  IBERVILLE / MT ROYAL 2014-01-07 1:30	people slightly injured	1
#FEE0D2	11	1	2014-01-11 1	  1 people slightly injured at  MARIE VICTORIN / DECELLES 2014-01-11 6:39	people slightly injured	1
#FEE0D2	15	1	2014-01-15 1	  1 people slightly injured at  GD RG ST FRANCOIS / RG EMILEVILLE 2014-01-15 6:49	people slightly injured	1
#FEE0D2	18	1	2014-01-18 1	  1 people slightly injured at  MAISONNEUVE / SIMONDS S 2014-01-18 19:40	people slightly injured	1
#FEE0D2	22	1	2014-01-22 1	  1 people slightly injured at  MT ROYAL / HENRI DESLONGCHAMPS 2014-01-22 21:15	people slightly injured	1
#FEE0D2	22	2	2014-01-22 2	  1 people slightly injured at  BD DAGENAIS / BD WILLIAM PRICE 2014-01-22 7:00	people slightly injured	1
#FEE0D2	23	1	2014-01-23 1	  1 people slightly injured at  PRINCE EDWARD / BARRE 2014-01-23 22:56	people slightly injured	1
#FEE0D2	24	1	2014-01-24 1	  1 people slightly injured at  BD MAISONNEUVE / PAPINEAU 2014-01-24 16:43	people slightly injured	1
#FEE0D2	28	1	2014-01-28 1	  1 people slightly injured at 7094 CHRISTOPHE COLOMB / JEAN TALON 2014-01-28 8:00	people slightly injured	1
#FEE0D2	31	1	2014-01-31 1	  1 people slightly injured at  BD ST LUC / COURVILLE 2014-01-31 16:25	people slightly injured	1
