colour	size	x	y	clickSelects	showSelected1	fill
#32D6BA	4.30317791740052	-73.562845	45.516126	Berri	January 2009	#32D6BA
#32D6BA	4.76302064010457	-73.562845	45.516126	Berri	February 2009	#32D6BA
#32D6BA	5.79189534834259	-73.562845	45.516126	Berri	March 2009	#32D6BA
#32D6BA	9.57746823564727	-73.562845	45.516126	Berri	April 2009	#32D6BA
#32D6BA	14.5591329139642	-73.562845	45.516126	Berri	May 2009	#32D6BA
#32D6BA	16.1690795560893	-73.562845	45.516126	Berri	June 2009	#32D6BA
#32D6BA	16.8998995091737	-73.562845	45.516126	Berri	July 2009	#32D6BA
#32D6BA	16.3204873019958	-73.562845	45.516126	Berri	August 2009	#32D6BA
#32D6BA	16.1157031734819	-73.562845	45.516126	Berri	September 2009	#32D6BA
#32D6BA	12.0949199344816	-73.562845	45.516126	Berri	October 2009	#32D6BA
#32D6BA	10.9472814474802	-73.562845	45.516126	Berri	November 2009	#32D6BA
#32D6BA	6.14411793200692	-73.562845	45.516126	Berri	December 2009	#32D6BA
#32D6BA	5.23953262373946	-73.562845	45.516126	Berri	January 2010	#32D6BA
#32D6BA	5.42247252045089	-73.562845	45.516126	Berri	February 2010	#32D6BA
#32D6BA	8.98333577492539	-73.562845	45.516126	Berri	March 2010	#32D6BA
#32D6BA	13.0997595380575	-73.562845	45.516126	Berri	April 2010	#32D6BA
#32D6BA	17.0308632577046	-73.562845	45.516126	Berri	May 2010	#32D6BA
#32D6BA	17.5686657075106	-73.562845	45.516126	Berri	June 2010	#32D6BA
#32D6BA	18.0196225884889	-73.562845	45.516126	Berri	July 2010	#32D6BA
#32D6BA	17.2843309728153	-73.562845	45.516126	Berri	August 2010	#32D6BA
#32D6BA	15.9858998672317	-73.562845	45.516126	Berri	September 2010	#32D6BA
#32D6BA	13.2216888581877	-73.562845	45.516126	Berri	October 2010	#32D6BA
#32D6BA	10.9649603452707	-73.562845	45.516126	Berri	November 2010	#32D6BA
#32D6BA	5.38576529680904	-73.562845	45.516126	Berri	December 2010	#32D6BA
#32D6BA	5.19162365289404	-73.562845	45.516126	Berri	January 2011	#32D6BA
#32D6BA	4.91789453274059	-73.562845	45.516126	Berri	February 2011	#32D6BA
#32D6BA	6.34081133275558	-73.562845	45.516126	Berri	March 2011	#32D6BA
#32D6BA	8.69462727654151	-73.562845	45.516126	Berri	April 2011	#32D6BA
#32D6BA	6.41471111076981	-73.562845	45.516126	Berri	May 2011	#32D6BA
#32D6BA	18.3509621141025	-73.562845	45.516126	Berri	June 2011	#32D6BA
#32D6BA	17.2299180006872	-73.562845	45.516126	Berri	July 2011	#32D6BA
#32D6BA	17.2581023421101	-73.562845	45.516126	Berri	August 2011	#32D6BA
#32D6BA	17.3082784983965	-73.562845	45.516126	Berri	September 2011	#32D6BA
#32D6BA	4.09291621512247	-73.562845	45.516126	Berri	October 2011	#32D6BA
