colour	x	y	tooltip	clickSelects	showSelected1	PANEL	fill
#32D6BA	1231957800	100.322580645161	3110 cyclists counted at Berri in 31 days of January 2009 (mean 100 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1234636200	159.678571428571	4471 cyclists counted at Berri in 28 days of February 2009 (mean 159 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1237055400	300.392857142857	8411 cyclists counted at Berri in 28 days of March 2009 (mean 300 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1239733800	2396.78571428571	33555 cyclists counted at Berri in 14 days of April 2009 (mean 2396 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1242325800	2972.87096774194	92159 cyclists counted at Berri in 31 days of May 2009 (mean 2972 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1245004200	3909.93333333333	117298 cyclists counted at Berri in 30 days of June 2009 (mean 3909 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1247596200	4184.16129032258	129709 cyclists counted at Berri in 31 days of July 2009 (mean 4184 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1250274600	3865.09677419355	119818 cyclists counted at Berri in 31 days of August 2009 (mean 3865 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1252953000	3880.53333333333	116416 cyclists counted at Berri in 30 days of September 2009 (mean 3880 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1255545000	1920.83870967742	59546 cyclists counted at Berri in 31 days of October 2009 (mean 1920 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1258223400	1559.3	46779 cyclists counted at Berri in 30 days of November 2009 (mean 1559 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1260815400	324	10044 cyclists counted at Berri in 31 days of December 2009 (mean 324 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1263493800	198.129032258065	6142 cyclists counted at Berri in 31 days of January 2010 (mean 198 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1266172200	244.785714285714	6854 cyclists counted at Berri in 28 days of February 2010 (mean 244 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1268591400	919.387096774194	28501 cyclists counted at Berri in 31 days of March 2010 (mean 919 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1271269800	2399.6	71988 cyclists counted at Berri in 30 days of April 2010 (mean 2399 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1273861800	4258.03225806452	131999 cyclists counted at Berri in 31 days of May 2010 (mean 4258 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1276540200	4720.43333333333	141613 cyclists counted at Berri in 30 days of June 2010 (mean 4720 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1279132200	4836.61290322581	149935 cyclists counted at Berri in 31 days of July 2010 (mean 4836 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1281810600	4402.83870967742	136488 cyclists counted at Berri in 31 days of August 2010 (mean 4402 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1284489000	3809.5	114285 cyclists counted at Berri in 30 days of September 2010 (mean 3809 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1287081000	2373.48387096774	73578 cyclists counted at Berri in 31 days of October 2010 (mean 2373 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1289759400	1565.46666666667	46964 cyclists counted at Berri in 30 days of November 2010 (mean 1565 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1292351400	216.387096774194	6708 cyclists counted at Berri in 31 days of December 2010 (mean 216 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1295029800	192.322580645161	5962 cyclists counted at Berri in 31 days of January 2011 (mean 192 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1297708200	178.035714285714	4985 cyclists counted at Berri in 28 days of February 2011 (mean 178 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1300127400	355.451612903226	11019 cyclists counted at Berri in 31 days of March 2011 (mean 355 cyclists/day)	Berri	Berri	2	#32D6BA
#32D6BA	1302805800	1378.63157894737	26194 cyclists counted at Berri in 19 days of April 2011 (mean 1378 cyclists/day)	Berri	Berri	2	#32D6BA
