colour	x	y	label	clickSelects	showSelected1	PANEL	group
#32D6BA	1342290600	5543.93548387097	Berri	Berri	Berri	2	1
#7649C8	1250274600	5525.83870967742	Br√©beuf	Br√©beuf	Br√©beuf	2	2
#0591F5	1308076200	3898.83333333333	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	2	5
#FC9D31	1310668200	6406.25806451613	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	2	6
#A77B7B	1273861800	2792.1935483871	Saint-Urbain	Saint-Urbain	Saint-Urbain	2	9
#A799FF	1368556200	2307.38709677419	CÙte-Sainte-Catherine	CÙte-Sainte-Catherine	CÙte-Sainte-Catherine	2	3
#FB8072	1316025000	3430.3	du Parc	du Parc	du Parc	2	4
#93DF10	1310668200	2947.77419354839	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	2	7
#F58AC1	1373826600	5726.38709677419	Rachel	Rachel	Rachel	2	8
#D21BD5	1373826600	3538.38709677419	Totem_Laurier	Totem_Laurier	Totem_Laurier	2	10
