fill	showSelected1	PANEL	group	ymin	ymax	xmin	xmax
#FEE0D2	people slightly injured	1	1	0	10	1325477160	1327654440
#A50F15	deaths	1	3	10	11	1325477160	1327654440
#FEE0D2	people slightly injured	1	1	0	20	1328155560	1330332840
#FEE0D2	people slightly injured	1	1	0	73	1330661160	1332838440
#FB6A4A	people severely injured	1	2	73	76	1330661160	1332838440
#FEE0D2	people slightly injured	1	1	0	109	1333339560	1335516840
#FB6A4A	people severely injured	1	2	109	114	1333339560	1335516840
#FEE0D2	people slightly injured	1	1	0	218	1335931560	1338108840
#FB6A4A	people severely injured	1	2	218	227	1335931560	1338108840
#A50F15	deaths	1	3	227	228	1335931560	1338108840
#FEE0D2	people slightly injured	1	1	0	268	1338609960	1340787240
#FB6A4A	people severely injured	1	2	268	279	1338609960	1340787240
#A50F15	deaths	1	3	279	282	1338609960	1340787240
#FEE0D2	people slightly injured	1	1	0	371	1341201960	1343379240
#FB6A4A	people severely injured	1	2	371	386	1341201960	1343379240
#A50F15	deaths	1	3	386	388	1341201960	1343379240
#FEE0D2	people slightly injured	1	1	0	316	1343880360	1346057640
#FB6A4A	people severely injured	1	2	316	337	1343880360	1346057640
#A50F15	deaths	1	3	337	338	1343880360	1346057640
#FEE0D2	people slightly injured	1	1	0	270	1346558760	1348736040
#FB6A4A	people severely injured	1	2	270	282	1346558760	1348736040
#A50F15	deaths	1	3	282	284	1346558760	1348736040
#FEE0D2	people slightly injured	1	1	0	162	1349150760	1351328040
#FB6A4A	people severely injured	1	2	162	169	1349150760	1351328040
#A50F15	deaths	1	3	169	172	1349150760	1351328040
#FEE0D2	people slightly injured	1	1	0	101	1351829160	1354006440
#FB6A4A	people severely injured	1	2	101	104	1351829160	1354006440
#A50F15	deaths	1	3	104	105	1351829160	1354006440
#FEE0D2	people slightly injured	1	1	0	15	1354421160	1356598440
#FB6A4A	people severely injured	1	2	15	17	1354421160	1356598440
#FEE0D2	people slightly injured	1	1	0	6	1357099560	1359276840
#FEE0D2	people slightly injured	1	1	0	12	1359777960	1361955240
#FB6A4A	people severely injured	1	2	12	13	1359777960	1361955240
#A50F15	deaths	1	3	13	14	1359777960	1361955240
#FEE0D2	people slightly injured	1	1	0	26	1362197160	1364374440
#FB6A4A	people severely injured	1	2	26	27	1362197160	1364374440
#A50F15	deaths	1	3	27	28	1362197160	1364374440
#FEE0D2	people slightly injured	1	1	0	85	1364875560	1367052840
#FB6A4A	people severely injured	1	2	85	91	1364875560	1367052840
#A50F15	deaths	1	3	91	93	1364875560	1367052840
#FEE0D2	people slightly injured	1	1	0	244	1367467560	1369644840
#FB6A4A	people severely injured	1	2	244	263	1367467560	1369644840
#A50F15	deaths	1	3	263	268	1367467560	1369644840
#FEE0D2	people slightly injured	1	1	0	279	1370145960	1372323240
#FB6A4A	people severely injured	1	2	279	295	1370145960	1372323240
#FEE0D2	people slightly injured	1	1	0	302	1372737960	1374915240
#FB6A4A	people severely injured	1	2	302	323	1372737960	1374915240
#A50F15	deaths	1	3	323	325	1372737960	1374915240
#FEE0D2	people slightly injured	1	1	0	314	1375416360	1377593640
#FB6A4A	people severely injured	1	2	314	331	1375416360	1377593640
#A50F15	deaths	1	3	331	333	1375416360	1377593640
#FEE0D2	people slightly injured	1	1	0	255	1378094760	1380272040
#FB6A4A	people severely injured	1	2	255	276	1378094760	1380272040
#A50F15	deaths	1	3	276	280	1378094760	1380272040
#FEE0D2	people slightly injured	1	1	0	190	1380686760	1382864040
#FB6A4A	people severely injured	1	2	190	203	1380686760	1382864040
#A50F15	deaths	1	3	203	204	1380686760	1382864040
#FEE0D2	people slightly injured	1	1	0	71	1383365160	1385542440
#FB6A4A	people severely injured	1	2	71	74	1383365160	1385542440
#A50F15	deaths	1	3	74	76	1383365160	1385542440
#FEE0D2	people slightly injured	1	1	0	14	1385957160	1388134440
#FB6A4A	people severely injured	1	2	14	15	1385957160	1388134440
#FEE0D2	people slightly injured	1	1	0	10	1388635560	1390812840
#FEE0D2	people slightly injured	1	1	0	6	1391313960	1393491240
#FEE0D2	people slightly injured	1	1	0	10	1393733160	1395910440
#FB6A4A	people severely injured	1	2	10	12	1393733160	1395910440
#FEE0D2	people slightly injured	1	1	0	83	1396411560	1398588840
#FB6A4A	people severely injured	1	2	83	89	1396411560	1398588840
#A50F15	deaths	1	3	89	91	1396411560	1398588840
#FEE0D2	people slightly injured	1	1	0	202	1399003560	1401180840
#FB6A4A	people severely injured	1	2	202	209	1399003560	1401180840
#A50F15	deaths	1	3	209	211	1399003560	1401180840
