xmin	xmax	tooltip	clickSelects	PANEL	group
1325356200	1328034600	1 death,  10 people slightly injured in January 2012	January 2012	1	14
1328034600	1330540200	  20 people slightly injured in February 2012	February 2012	1	3
1330540200	1333218600	 3 people severely injured, 73 people slightly injured in March 2012	March 2012	1	11
1333218600	1335810600	 5 people severely injured, 109 people slightly injured in April 2012	April 2012	1	12
1335810600	1338489000	1 death, 9 people severely injured, 218 people slightly injured in May 2012	May 2012	1	22
1338489000	1341081000	3 deaths, 11 people severely injured, 268 people slightly injured in June 2012	June 2012	1	32
1341081000	1343759400	2 deaths, 15 people severely injured, 371 people slightly injured in July 2012	July 2012	1	24
1343759400	1346437800	1 death, 21 people severely injured, 316 people slightly injured in August 2012	August 2012	1	20
1346437800	1349029800	2 deaths, 12 people severely injured, 270 people slightly injured in September 2012	September 2012	1	23
1349029800	1351708200	3 deaths, 7 people severely injured, 162 people slightly injured in October 2012	October 2012	1	34
1351708200	1354300200	1 death, 3 people severely injured, 101 people slightly injured in November 2012	November 2012	1	21
1354300200	1356978600	 2 people severely injured, 15 people slightly injured in December 2012	December 2012	1	10
1356978600	1359657000	  6 people slightly injured in January 2013	January 2013	1	5
1359657000	1362076200	1 death, 1 person severely injured, 12 people slightly injured in February 2013	February 2013	1	15
1362076200	1364754600	1 death, 1 person severely injured, 26 people slightly injured in March 2013	March 2013	1	16
1364754600	1367346600	2 deaths, 6 people severely injured, 85 people slightly injured in April 2013	April 2013	1	30
1367346600	1370025000	5 deaths, 19 people severely injured, 244 people slightly injured in May 2013	May 2013	1	36
1370025000	1372617000	 16 people severely injured, 279 people slightly injured in June 2013	June 2013	1	8
1372617000	1375295400	2 deaths, 21 people severely injured, 302 people slightly injured in July 2013	July 2013	1	27
1375295400	1377973800	2 deaths, 17 people severely injured, 314 people slightly injured in August 2013	August 2013	1	25
1377973800	1380565800	4 deaths, 21 people severely injured, 255 people slightly injured in September 2013	September 2013	1	35
1380565800	1383244200	1 death, 13 people severely injured, 190 people slightly injured in October 2013	October 2013	1	18
1383244200	1385836200	2 deaths, 3 people severely injured, 71 people slightly injured in November 2013	November 2013	1	28
1385836200	1388514600	 1 person severely injured, 14 people slightly injured in December 2013	December 2013	1	6
1388514600	1391193000	  10 people slightly injured in January 2014	January 2014	1	2
1391193000	1393612200	  6 people slightly injured in February 2014	February 2014	1	4
1393612200	1396290600	 2 people severely injured, 10 people slightly injured in March 2014	March 2014	1	9
1396290600	1398882600	2 deaths, 6 people severely injured, 83 people slightly injured in April 2014	April 2014	1	29
1398882600	1401561000	2 deaths, 7 people severely injured, 202 people slightly injured in May 2014	May 2014	1	31
1401561000	1404153000	 15 people severely injured, 273 people slightly injured in June 2014	June 2014	1	7
1404153000	1406831400	2 deaths, 20 people severely injured, 269 people slightly injured in July 2014	July 2014	1	26
1406831400	1409509800	1 death, 12 people severely injured, 302 people slightly injured in August 2014	August 2014	1	17
1409509800	1412101800	3 deaths, 16 people severely injured, 262 people slightly injured in September 2014	September 2014	1	33
1412101800	1414780200	 8 people severely injured, 162 people slightly injured in October 2014	October 2014	1	13
1414780200	1417372200	1 death, 2 people severely injured, 69 people slightly injured in November 2014	November 2014	1	19
1417372200	1420050600	  10 people slightly injured in December 2014	December 2014	1	1
