xmin	xmax	key	showSelected1	PANEL	group
2.5	3.5	2009-01-02T18:30:00Z	January 2009	1	1
3.5	4.5	2009-01-03T18:30:00Z	January 2009	1	1
9.5	10.5	2009-01-09T18:30:00Z	January 2009	1	1
10.5	11.5	2009-01-10T18:30:00Z	January 2009	1	1
16.5	17.5	2009-01-16T18:30:00Z	January 2009	1	1
17.5	18.5	2009-01-17T18:30:00Z	January 2009	1	1
23.5	24.5	2009-01-23T18:30:00Z	January 2009	1	1
24.5	25.5	2009-01-24T18:30:00Z	January 2009	1	1
30.5	31.5	2009-01-30T18:30:00Z	January 2009	1	1
0.5	1.5	2009-01-31T18:30:00Z	February 2009	1	2
6.5	7.5	2009-02-06T18:30:00Z	February 2009	1	2
7.5	8.5	2009-02-07T18:30:00Z	February 2009	1	2
13.5	14.5	2009-02-13T18:30:00Z	February 2009	1	2
14.5	15.5	2009-02-14T18:30:00Z	February 2009	1	2
20.5	21.5	2009-02-20T18:30:00Z	February 2009	1	2
21.5	22.5	2009-02-21T18:30:00Z	February 2009	1	2
27.5	28.5	2009-02-27T18:30:00Z	February 2009	1	2
0.5	1.5	2009-02-28T18:30:00Z	March 2009	1	3
6.5	7.5	2009-03-06T18:30:00Z	March 2009	1	3
7.5	8.5	2009-03-07T18:30:00Z	March 2009	1	3
13.5	14.5	2009-03-13T18:30:00Z	March 2009	1	3
14.5	15.5	2009-03-14T18:30:00Z	March 2009	1	3
20.5	21.5	2009-03-20T18:30:00Z	March 2009	1	3
21.5	22.5	2009-03-21T18:30:00Z	March 2009	1	3
27.5	28.5	2009-03-27T18:30:00Z	March 2009	1	3
28.5	29.5	2009-03-28T18:30:00Z	March 2009	1	3
3.5	4.5	2009-04-03T18:30:00Z	April 2009	1	4
4.5	5.5	2009-04-04T18:30:00Z	April 2009	1	4
10.5	11.5	2009-04-10T18:30:00Z	April 2009	1	4
11.5	12.5	2009-04-11T18:30:00Z	April 2009	1	4
17.5	18.5	2009-04-17T18:30:00Z	April 2009	1	4
18.5	19.5	2009-04-18T18:30:00Z	April 2009	1	4
24.5	25.5	2009-04-24T18:30:00Z	April 2009	1	4
25.5	26.5	2009-04-25T18:30:00Z	April 2009	1	4
1.5	2.5	2009-05-01T18:30:00Z	May 2009	1	5
2.5	3.5	2009-05-02T18:30:00Z	May 2009	1	5
