colour	x	y	group	key	clickSelects	showSelected1	showSelected2	PANEL
#32D6BA	1	29	1	Berri	Berri	January 2009	Berri	2
#32D6BA	1	14	1	Berri	Berri	February 2009	Berri	2
#32D6BA	1	67	1	Berri	Berri	March 2009	Berri	2
#32D6BA	1	1925	1	Berri	Berri	May 2009	Berri	2
#32D6BA	1	3274	1	Berri	Berri	June 2009	Berri	2
#32D6BA	1	4471	1	Berri	Berri	July 2009	Berri	2
#32D6BA	1	63	1	Berri	Berri	August 2009	Berri	2
#32D6BA	1	5298	1	Berri	Berri	September 2009	Berri	2
#32D6BA	1	2643	1	Berri	Berri	October 2009	Berri	2
#32D6BA	1	1144	1	Berri	Berri	November 2009	Berri	2
#32D6BA	1	1092	1	Berri	Berri	December 2009	Berri	2
#32D6BA	1	36	1	Berri	Berri	January 2010	Berri	2
#32D6BA	1	233	1	Berri	Berri	February 2010	Berri	2
#32D6BA	1	398	1	Berri	Berri	March 2010	Berri	2
#32D6BA	1	2049	1	Berri	Berri	April 2010	Berri	2
#32D6BA	1	2433	1	Berri	Berri	May 2010	Berri	2
#32D6BA	1	2786	1	Berri	Berri	June 2010	Berri	2
#32D6BA	1	4089	1	Berri	Berri	July 2010	Berri	2
#32D6BA	1	79	1	Berri	Berri	August 2010	Berri	2
#32D6BA	1	5367	1	Berri	Berri	September 2010	Berri	2
#32D6BA	1	2252	1	Berri	Berri	October 2010	Berri	2
#32D6BA	1	2273	1	Berri	Berri	November 2010	Berri	2
#32D6BA	1	511	1	Berri	Berri	December 2010	Berri	2
#32D6BA	1	81	1	Berri	Berri	January 2011	Berri	2
#32D6BA	1	269	1	Berri	Berri	February 2011	Berri	2
#32D6BA	1	102	1	Berri	Berri	March 2011	Berri	2
#32D6BA	1	755	1	Berri	Berri	April 2011	Berri	2
#32D6BA	1	6497	1	Berri	Berri	June 2011	Berri	2
#32D6BA	1	5610	1	Berri	Berri	July 2011	Berri	2
#32D6BA	1	54	1	Berri	Berri	August 2011	Berri	2
#32D6BA	1	5352	1	Berri	Berri	September 2011	Berri	2
#32D6BA	1	1056	1	Berri	Berri	October 2011	Berri	2
#32D6BA	1	35	1	Berri	Berri	January 2012	Berri	2
#32D6BA	1	138	1	Berri	Berri	February 2012	Berri	2
#32D6BA	1	92	1	Berri	Berri	March 2012	Berri	2
#32D6BA	1	662	1	Berri	Berri	April 2012	Berri	2
#32D6BA	1	1986	1	Berri	Berri	May 2012	Berri	2
#32D6BA	1	6097	1	Berri	Berri	June 2012	Berri	2
#32D6BA	1	4758	1	Berri	Berri	July 2012	Berri	2
#32D6BA	1	4638	1	Berri	Berri	August 2012	Berri	2
#32D6BA	1	3934	1	Berri	Berri	September 2012	Berri	2
#32D6BA	1	3255	1	Berri	Berri	October 2012	Berri	2
#32D6BA	1	2405	1	Berri	Berri	November 2012	Berri	2
#32D6BA	1	233	1	Berri	Berri	February 2013	Berri	2
#32D6BA	1	291	1	Berri	Berri	March 2013	Berri	2
#32D6BA	1	371	1	Berri	Berri	April 2013	Berri	2
#32D6BA	1	5803	1	Berri	Berri	May 2013	Berri	2
#32D6BA	1	4150	1	Berri	Berri	June 2013	Berri	2
#32D6BA	1	4559	1	Berri	Berri	July 2013	Berri	2
#32D6BA	1	3716	1	Berri	Berri	August 2013	Berri	2
#32D6BA	1	4091	1	Berri	Berri	September 2013	Berri	2
#32D6BA	2	19	1	Berri	Berri	January 2009	Berri	2
#32D6BA	2	158	1	Berri	Berri	February 2009	Berri	2
#32D6BA	2	105	1	Berri	Berri	March 2009	Berri	2
#32D6BA	2	2125	1	Berri	Berri	May 2009	Berri	2
#32D6BA	2	4325	1	Berri	Berri	June 2009	Berri	2
#32D6BA	2	4432	1	Berri	Berri	July 2009	Berri	2
#32D6BA	2	77	1	Berri	Berri	August 2009	Berri	2
#32D6BA	2	5451	1	Berri	Berri	September 2009	Berri	2
#32D6BA	2	2865	1	Berri	Berri	October 2009	Berri	2
#32D6BA	2	2293	1	Berri	Berri	November 2009	Berri	2
#32D6BA	2	1377	1	Berri	Berri	December 2009	Berri	2
#32D6BA	2	28	1	Berri	Berri	January 2010	Berri	2
#32D6BA	2	270	1	Berri	Berri	February 2010	Berri	2
#32D6BA	2	574	1	Berri	Berri	March 2010	Berri	2
#32D6BA	2	2816	1	Berri	Berri	April 2010	Berri	2
#32D6BA	2	2677	1	Berri	Berri	May 2010	Berri	2
#32D6BA	2	6791	1	Berri	Berri	June 2010	Berri	2
#32D6BA	2	6108	1	Berri	Berri	July 2010	Berri	2
#32D6BA	2	4864	1	Berri	Berri	August 2010	Berri	2
#32D6BA	2	5004	1	Berri	Berri	September 2010	Berri	2
#32D6BA	2	2034	1	Berri	Berri	October 2010	Berri	2
#32D6BA	2	2748	1	Berri	Berri	November 2010	Berri	2
#32D6BA	2	1072	1	Berri	Berri	December 2010	Berri	2
#32D6BA	2	95	1	Berri	Berri	January 2011	Berri	2
#32D6BA	2	68	1	Berri	Berri	February 2011	Berri	2
#32D6BA	2	144	1	Berri	Berri	March 2011	Berri	2
#32D6BA	2	909	1	Berri	Berri	April 2011	Berri	2
#32D6BA	2	4827	1	Berri	Berri	June 2011	Berri	2
#32D6BA	2	5767	1	Berri	Berri	July 2011	Berri	2
#32D6BA	2	4777	1	Berri	Berri	August 2011	Berri	2
#32D6BA	2	5293	1	Berri	Berri	September 2011	Berri	2
#32D6BA	2	511	1	Berri	Berri	October 2011	Berri	2
#32D6BA	2	83	1	Berri	Berri	January 2012	Berri	2
#32D6BA	2	217	1	Berri	Berri	February 2012	Berri	2
#32D6BA	2	143	1	Berri	Berri	March 2012	Berri	2
#32D6BA	2	1937	1	Berri	Berri	April 2012	Berri	2
#32D6BA	2	3724	1	Berri	Berri	May 2012	Berri	2
#32D6BA	2	943	1	Berri	Berri	June 2012	Berri	2
#32D6BA	2	4144	1	Berri	Berri	July 2012	Berri	2
#32D6BA	2	5715	1	Berri	Berri	August 2012	Berri	2
#32D6BA	2	3698	1	Berri	Berri	September 2012	Berri	2
#32D6BA	2	5139	1	Berri	Berri	October 2012	Berri	2
#32D6BA	2	1582	1	Berri	Berri	November 2012	Berri	2
#32D6BA	2	69	1	Berri	Berri	January 2013	Berri	2
#32D6BA	2	82	1	Berri	Berri	February 2013	Berri	2
#32D6BA	2	169	1	Berri	Berri	March 2013	Berri	2
#32D6BA	2	1055	1	Berri	Berri	April 2013	Berri	2
#32D6BA	2	5849	1	Berri	Berri	May 2013	Berri	2
#32D6BA	2	3231	1	Berri	Berri	June 2013	Berri	2
#32D6BA	2	4895	1	Berri	Berri	July 2013	Berri	2
#32D6BA	2	4562	1	Berri	Berri	August 2013	Berri	2
#32D6BA	2	1513	1	Berri	Berri	September 2013	Berri	2
#32D6BA	3	24	1	Berri	Berri	January 2009	Berri	2
#32D6BA	3	179	1	Berri	Berri	February 2009	Berri	2
#32D6BA	3	157	1	Berri	Berri	March 2009	Berri	2
#32D6BA	3	2662	1	Berri	Berri	May 2009	Berri	2
#32D6BA	3	5430	1	Berri	Berri	June 2009	Berri	2
#32D6BA	3	2997	1	Berri	Berri	July 2009	Berri	2
#32D6BA	3	5904	1	Berri	Berri	August 2009	Berri	2
#32D6BA	3	5372	1	Berri	Berri	September 2009	Berri	2
#32D6BA	3	993	1	Berri	Berri	October 2009	Berri	2
#32D6BA	3	1655	1	Berri	Berri	November 2009	Berri	2
#32D6BA	3	606	1	Berri	Berri	December 2009	Berri	2
#32D6BA	3	39	1	Berri	Berri	January 2010	Berri	2
#32D6BA	3	270	1	Berri	Berri	February 2010	Berri	2
#32D6BA	3	619	1	Berri	Berri	March 2010	Berri	2
#32D6BA	3	3072	1	Berri	Berri	April 2010	Berri	2
#32D6BA	3	2794	1	Berri	Berri	May 2010	Berri	2
#32D6BA	3	3676	1	Berri	Berri	June 2010	Berri	2
#32D6BA	3	5245	1	Berri	Berri	July 2010	Berri	2
#32D6BA	3	2112	1	Berri	Berri	August 2010	Berri	2
#32D6BA	3	5118	1	Berri	Berri	September 2010	Berri	2
#32D6BA	3	1748	1	Berri	Berri	October 2010	Berri	2
#32D6BA	3	2894	1	Berri	Berri	November 2010	Berri	2
#32D6BA	3	983	1	Berri	Berri	December 2010	Berri	2
#32D6BA	3	150	1	Berri	Berri	January 2011	Berri	2
#32D6BA	3	138	1	Berri	Berri	February 2011	Berri	2
#32D6BA	3	185	1	Berri	Berri	March 2011	Berri	2
#32D6BA	3	1099	1	Berri	Berri	April 2011	Berri	2
#32D6BA	3	6927	1	Berri	Berri	June 2011	Berri	2
#32D6BA	3	3816	1	Berri	Berri	July 2011	Berri	2
#32D6BA	3	5445	1	Berri	Berri	August 2011	Berri	2
#32D6BA	3	3311	1	Berri	Berri	September 2011	Berri	2
#32D6BA	3	1003	1	Berri	Berri	October 2011	Berri	2
#32D6BA	3	135	1	Berri	Berri	January 2012	Berri	2
#32D6BA	3	174	1	Berri	Berri	February 2012	Berri	2
#32D6BA	3	82	1	Berri	Berri	March 2012	Berri	2
#32D6BA	3	2416	1	Berri	Berri	April 2012	Berri	2
#32D6BA	3	3698	1	Berri	Berri	May 2012	Berri	2
#32D6BA	3	2755	1	Berri	Berri	June 2012	Berri	2
#32D6BA	3	6712	1	Berri	Berri	July 2012	Berri	2
#32D6BA	3	5577	1	Berri	Berri	August 2012	Berri	2
#32D6BA	3	4179	1	Berri	Berri	September 2012	Berri	2
#32D6BA	3	4685	1	Berri	Berri	October 2012	Berri	2
#32D6BA	3	844	1	Berri	Berri	November 2012	Berri	2
#32D6BA	3	69	1	Berri	Berri	January 2013	Berri	2
#32D6BA	3	85	1	Berri	Berri	February 2013	Berri	2
#32D6BA	3	119	1	Berri	Berri	March 2013	Berri	2
#32D6BA	3	1030	1	Berri	Berri	April 2013	Berri	2
#32D6BA	3	5769	1	Berri	Berri	May 2013	Berri	2
#32D6BA	3	4802	1	Berri	Berri	June 2013	Berri	2
#32D6BA	3	6679	1	Berri	Berri	July 2013	Berri	2
#32D6BA	3	3783	1	Berri	Berri	August 2013	Berri	2
#32D6BA	3	5710	1	Berri	Berri	September 2013	Berri	2
#32D6BA	4	24	1	Berri	Berri	January 2009	Berri	2
#32D6BA	4	122	1	Berri	Berri	February 2009	Berri	2
#32D6BA	4	164	1	Berri	Berri	March 2009	Berri	2
#32D6BA	4	4403	1	Berri	Berri	May 2009	Berri	2
#32D6BA	4	5278	1	Berri	Berri	June 2009	Berri	2
#32D6BA	4	2544	1	Berri	Berri	July 2009	Berri	2
