colour	x	y	key	tooltip	clickSelects	showSelected1	showSelected2	PANEL	fill
#32D6BA	1	29	1 Berri	29 cyclists counted at Berri on 2009-01-01	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	2	19	2 Berri	19 cyclists counted at Berri on 2009-01-02	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	3	24	3 Berri	24 cyclists counted at Berri on 2009-01-03	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	4	24	4 Berri	24 cyclists counted at Berri on 2009-01-04	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	5	120	5 Berri	120 cyclists counted at Berri on 2009-01-05	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	6	261	6 Berri	261 cyclists counted at Berri on 2009-01-06	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	7	60	7 Berri	60 cyclists counted at Berri on 2009-01-07	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	8	24	8 Berri	24 cyclists counted at Berri on 2009-01-08	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	9	35	9 Berri	35 cyclists counted at Berri on 2009-01-09	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	10	81	10 Berri	81 cyclists counted at Berri on 2009-01-10	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	11	318	11 Berri	318 cyclists counted at Berri on 2009-01-11	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	12	105	12 Berri	105 cyclists counted at Berri on 2009-01-12	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	13	168	13 Berri	168 cyclists counted at Berri on 2009-01-13	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	14	145	14 Berri	145 cyclists counted at Berri on 2009-01-14	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	15	131	15 Berri	131 cyclists counted at Berri on 2009-01-15	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	16	93	16 Berri	93 cyclists counted at Berri on 2009-01-16	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	17	25	17 Berri	25 cyclists counted at Berri on 2009-01-17	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	18	52	18 Berri	52 cyclists counted at Berri on 2009-01-18	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	19	136	19 Berri	136 cyclists counted at Berri on 2009-01-19	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	20	147	20 Berri	147 cyclists counted at Berri on 2009-01-20	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	21	109	21 Berri	109 cyclists counted at Berri on 2009-01-21	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	22	172	22 Berri	172 cyclists counted at Berri on 2009-01-22	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	23	148	23 Berri	148 cyclists counted at Berri on 2009-01-23	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	24	15	24 Berri	15 cyclists counted at Berri on 2009-01-24	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	25	35	25 Berri	35 cyclists counted at Berri on 2009-01-25	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	26	93	26 Berri	93 cyclists counted at Berri on 2009-01-26	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	27	209	27 Berri	209 cyclists counted at Berri on 2009-01-27	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	28	92	28 Berri	92 cyclists counted at Berri on 2009-01-28	Berri	Berri	January 2009	2	#32D6BA
#32D6BA	29	110	29 Berri	110 cyclists counted at Berri on 2009-01-29	Berri	Berri	January 2009	2	#32D6BA
